"name","Radius","Period","Discovery_method","star_mass","star_radius","star_temperature"
"KOI-1843.03",0.054,0.1768913,"transit",0.46,0.45,3584
"KOI-1843.01",0.114,4.194525,"transit",0.46,0.45,3584
"KOI-1843.02",0.071,6.356006,"transit",0.46,0.45,3584
"Kepler-9 b",0.84,19.22418,"transit",1.07,1.02,5777
"Kepler-9 c",0.82,39.03106,"transit",1.07,1.02,5777
"Kepler-9 d",0.147,1.592851,"transit",1.07,1.02,5777
"Kepler-566 b",0.192,18.42794624,"transit",0.83,0.79,5132
"Kepler-1343 b",0.172,3.35183158,"transit",0.95,0.93,5759
"Kepler-1011 b",0.256,5.75322197,"transit",0.91,0.88,5416
"WASP-82 b",1.67,2.705782,"transit",1.63,2.18,6490
"Gliese 1214 b",0.2525,1.58040417,"transit",0.176,0.2213,3250
"Kepler-153 b",0.2661,18.870227,"transit",0.82,0.892,5404
"Kepler-153 c",0.23056,46.90232,"transit",0.82,0.892,5404
"Kepler-1368 b",0.147,0.67564949,"transit",1.07,1.08,5906
"Kepler-1111 b",0.178,8.79617863,"transit",1.1,1.15,6077
"Kepler-1289 b",0.136,7.99019627,"transit",1.1,1.17,6080
"Kepler-431 b",0.0682,6.803,"transit",1.071,1.092,6004
"Kepler-431 c",0.0596,8.703,"transit",1.071,1.092,6004
"Kepler-431 d",0.099,11.922,"transit",1.071,1.092,6004
"Kepler-131 b",0.219624,16.092,"transit",1.02,1.03,5685
"Kepler-131 c",0.076549,25.5169,"transit",1.02,1.03,5685
"Kepler-548 b",1.07,4.45419434,"transit",0.93,0.9,5535
"CoRoT-24 b",0.33,5.1134,"transit",0.91,0.86,4950
"CoRoT-24 c",0.44,11.759,"transit",0.91,0.86,4950
"Kepler-1105 b",0.179,4.42157218,"transit",0.71,0.68,4299
"Kepler-211 c",0.11756,6.04045,"transit",0.914,0.816,5123
"Kepler-211 b",0.11482,4.138575,"transit",0.914,0.816,5123
"Kepler-294 c",0.24696,6.6264,"transit",0.994,0.976,5913
"Kepler-294 b",0.1613,3.701212,"transit",0.994,0.976,5913
"Kepler-257 c",0.49301,6.581484,"transit",0.74,1.037,5180
"Kepler-257 b",0.23785,2.382667,"transit",0.74,1.037,5180
"Kepler-257 d",0.45109,24.664551,"transit",0.74,1.037,5180
"Kepler-214 c",0.19411,28.7798,"transit",1.15,1.352,6169
"Kepler-214 b",0.23785,15.660544,"transit",1.15,1.352,6169
"Kepler-1112 b",0.269,14.36267939,"transit",1.34,1.54,6496
"Kepler-130 c",0.25608,27.508653,"transit",0.965,1.127,5884
"Kepler-130 b",0.09295,8.457458,"transit",0.965,1.127,5884
"Kepler-130 d",0.14945,87.517905,"transit",0.965,1.127,5884
"WASP-108 b",1.284,2.6755463,"transit",1.167,1.215,6000
"K2-34 b",1.35,2.995607,"transit",1.281,1.526,6132
"Kepler-815 b",0.367,8.57503552,"transit",1.25,3.42,5028
"Kepler-1145 b",0.125,3.97076766,"transit",0.79,0.75,5064
"Kepler-1575 b",0.117,2.55314213,"transit",0.95,0.92,5667
"Kepler-1380 b",0.128,10.3108245,"transit",0.96,0.94,5570
"Kepler-189 c",0.21689,20.134866,"transit",0.824,0.75,5235
"Kepler-189 b",0.11027,10.399931,"transit",0.824,0.75,5235
"Kepler-327 b",0.10115,2.549575,"transit",0.547,0.492,3799
