"x","y"
41,296
75,519
256,190
89,221
412,425
432,314
367,169
44,54
162,309
181,574
313,165
169,583
218,512
10,406
164,559
135,235
169,559
46,334
271,168
290,324
186,580
174,420
124,390
350,411
451,467
195,575
429,378
345,308
350,170
337,432
355,440
137,224
520,527
214,568
529,460
279,165
154,217
255,413
153,213
519,440
274,358
483,403
222,541
69,503
185,569
178,569
226,389
458,292
72,263
47,484
413,303
496,268
84,368
444,335
96,200
357,169
53,397
452,466
228,435
310,363
70,387
252,539
354,285
193,7
346,358
323,395
102,157
176,573
312,182
250,521
466,442
435,341
47,60
186,574
61,93
432,555
117,543
281,585
190,365
344,305
165,79
94,427
209,521
66,105
78,247
336,176
197,568
80,348
474,314
16,415
174,199
362,172
351,174
185,119
138,368
298,317
60,355
390,453
351,319
195,571
459,404
327,410
381,450
292,362
334,586
432,392
53,343
228,195
100,182
92,140
110,563
43,371
182,614
347,397
58,300
485,425
188,191
97,200
212,31
403,604
198,192
361,168
216,551
402,322
147,219
253,423
339,167
352,321
178,108
488,248
52,421
407,286
144,221
479,323
273,554
116,393
438,166
67,367
86,236
498,462
292,412
419,424
218,570
216,37
395,283
72,104
469,423
414,166
192,612
488,242
465,447
235,440
364,298
270,190
98,203
405,174
196,193
475,307
263,149
79,124
222,362
31,438
189,523
232,547
154,556
305,582
275,411
319,424
485,417
181,559
445,454
236,602
127,468
416,163
122,355
106,302
97,55
512,537
312,346
83,122
366,167
68,501
426,425
146,603
326,364
254,418
523,515
358,168
250,136
207,511
187,195
185,581
224,527
97,208
272,433
52,411
397,168
205,191
129,249
134,588
81,385
451,438
449,395
251,549
219,511
90,345
368,306
178,575
381,355
209,24
47,482
406,405
180,196
281,398
106,557
262,439
171,106
132,251
227,547
68,107
76,513
174,366
504,460
119,271
122,397
130,391
94,380
113,284
513,537
196,549
124,574
268,170
414,287
75,250
445,164
287,168
404,165
42,387
476,296
37,286
425,396
230,441
461,447
430,398
208,571
50,340
375,598
446,570
119,528
188,124
497,469
333,312
434,588
476,584
139,239
129,577
209,21
78,329
251,144
76,116
351,363
88,231
56,350
173,564
208,439
349,436
117,561
463,468
406,605
239,193
274,351
185,526
260,592
197,567
360,407
266,191
30,276
414,298
309,431
129,254
228,191
410,412
134,586
391,426
507,455
35,465
50,67
373,418
244,411
130,254
67,273
62,311
523,499
522,499
84,360
382,307
125,373
22,428
411,456
383,332
253,356
107,441
125,394
29,40
210,28
150,333
76,252
26,265
252,167
142,395
229,359
107,302
209,520
493,387
254,141
112,395
416,164
223,566
235,567
196,9
337,307
151,221
493,388
483,316
94,379
72,511
322,179
486,236
472,198
95,206
313,314
213,34
370,595
10,410
399,360
183,583
125,24
56,75
470,192
123,392
137,230
169,201
75,516
280,549
283,326
101,200
386,330
212,195
166,208
454,377
125,520
136,591
326,402
283,400
25,36
344,172
223,606
417,165
465,387
506,478
507,465
248,135
169,552
389,172
60,80
476,300
363,381
104,553
404,406
392,169
174,363
449,605
91,214
396,447
277,553
379,281
158,209
219,153
224,563
466,183
225,434
90,224
228,519
217,40
240,536
256,166
132,393
81,526
331,415
492,437
181,575
341,433
154,403
202,611
329,296
238,539
343,163
202,11
323,164
323,364
84,123
394,304
408,408
328,364
279,396
101,185
253,167
483,303
191,574
253,552
262,346
317,303
390,379
75,119
52,424
123,187
294,187
76,248
235,542
212,438
277,189
172,578
229,547
501,543
252,191
238,555
454,171
273,414
131,578
238,536
194,571
150,547
404,284
72,259
529,452
459,300
43,365
36,323
271,155
70,105
179,566
208,143
43,290
141,345
445,383
228,93
