"x","y"
95,36
131,19
75,102
91,103
120,128
129,64
108,15
45,129
73,35
78,121
67,1
136,118
22,39
73,139
145,95
150,14
94,34
82,110
27,22
21,7
148,81
122,135
158,31
116,33
59,5
119,124
159,15
114,3
166,65
58,37
61,144
64,21
120,46
138,26
70,119
57,141
22,3
114,54
115,132
138,21
81,39
41,49
133,25
172,21
112,97
27,49
114,144
114,11
69,17
123,28
21,48
101,139
87,84
102,129
135,122
48,18
150,41
28,48
19,30
88,62
28,83
46,43
30,66
103,82
136,36
142,29
125,38
84,123
101,29
57,136
173,16
112,127
86,89
54,45
27,27
56,15
59,59
43,24
160,45
80,102
132,17
165,68
132,130
72,55
54,33
71,125
120,136
168,35
129,63
78,81
44,16
24,4
28,23
165,5
78,109
141,51
104,145
33,77
100,151
18,2
111,129
115,53
89,131
33,91
58,41
153,65
138,14
108,97
60,65
145,28
47,39
135,68
75,63
27,36
82,53
122,37
104,46
150,38
73,64
84,16
147,41
118,55
25,9
27,60
172,2
141,76
145,122
166,4
152,40
81,67
59,130
99,67
144,115
74,114
59,9
89,42
151,15
37,91
85,95
71,33
78,66
135,128
145,48
144,32
164,10
71,65
78,61
137,119
90,147
140,65
124,53
109,61
99,63
92,48
166,87
63,32
160,78
139,46
91,129
74,148
81,44
142,96
70,7
26,45
65,37
147,88
117,147
69,132
89,32
81,13
79,152
58,7
57,20
84,126
142,135
32,78
158,41
95,37
54,132
154,105
82,129
30,54
164,62
152,94
120,147
62,48
101,91
141,109
90,63
161,43
31,43
71,5
43,52
122,62
126,30
33,15
85,23
137,122
109,26
128,31
75,38
67,133
128,49
37,58
95,65
72,146
96,73
88,150
125,140
87,52
102,57
161,27
124,18
134,133
151,80
71,21
24,91
81,143
20,50
158,47
110,49
157,26
36,28
87,108
132,134
51,127
164,56
88,34
113,124
50,48
128,7
129,54
126,50
152,29
26,22
87,22
23,8
85,24
107,30
92,75
37,41
116,41
46,53
130,56
115,36
166,88
77,80
81,43
149,30
159,25
112,30
126,27
61,120
53,128
168,22
45,14
89,120
78,123
58,16
87,90
129,35
123,33
46,82
107,85
24,26
36,49
138,128
35,26
107,124
18,40
34,101
142,18
153,45
131,57
99,26
168,48
70,138
49,57
104,152
159,12
66,55
62,36
139,138
90,100
80,153
155,56
83,19
86,56
72,34
130,50
69,23
75,140
67,68
149,112
145,84
109,86
138,127
55,30
120,53
75,50
108,53
72,130
54,49
78,68
77,144
151,72
142,128
124,21
51,16
60,55
117,146
96,89
135,20
53,127
97,81
93,21
147,23
109,139
56,6
108,87
86,130
122,132
109,123
72,37
64,26
95,125
102,52
164,75
90,60
80,77
142,101
79,45
61,37
141,21
97,89
85,79
54,8
155,75
117,20
39,98
22,34
103,46
77,43
140,54
74,135
141,57
82,34
23,10
140,48
150,121
65,44
63,53
151,33
117,29
74,29
71,118
165,86
158,48
64,148
28,62
65,141
109,46
34,44
129,126
90,83
148,84
77,135
145,32
99,57
133,8
72,144
104,49
170,45
89,89
80,25
146,41
87,104
107,37
157,36
79,27
80,44
41,15
92,65
141,115
55,18
83,38
73,128
128,51
99,119
86,43
77,110
113,4
102,63
65,9
130,141
81,115
75,84
142,81
132,19
53,46
25,50
149,46
43,16
109,131
97,66
102,81
47,40
119,41
146,78
26,70
91,18
86,90
68,44
113,37
95,51
112,5
87,15
149,116
104,96
143,88
78,107
92,40
78,36
48,38
73,31
101,36
69,140
125,24
83,39
154,30
54,48
149,19
39,88
142,21
129,19
151,55
67,128
141,73
99,14
44,32
127,25
58,24
40,101
152,125
110,83
150,125
102,29
34,63
78,94
150,58
127,126
107,141
168,7
92,138
149,62
150,40
134,137
22,16
137,61
103,144
158,20
143,133
87,38
38,38
156,37
88,38
82,7
164,66
51,59
81,9
81,8
58,51
90,49
45,133
77,75
157,39
162,67
144,110
36,14
97,37
148,89
35,57
85,118
21,60
149,51
64,57
162,76
171,38
115,145
113,142
87,126
110,94
90,18
166,82
90,22
91,110
120,10
169,6
128,133
166,10
54,42
114,10
111,130
74,7
71,128
165,12
24,77
157,30
71,1
136,23
134,25
60,126
41,88
96,92
80,143
54,47
85,21
35,18
57,45
76,120
131,46
73,58
147,110
165,98
151,104
24,79
159,91
82,28
159,97
88,12
77,48
74,85
149,74
24,38
119,50
40,37
162,100
143,20
157,46
46,39
131,52
73,21
102,40
71,129
76,63
85,82
34,28
108,46
129,123
84,82
159,28
111,134
106,98
70,150
142,126
99,32
60,23
157,22
150,87
104,32
103,96
47,82
75,43
19,49
112,7
51,61
128,124
87,125
72,145
55,37
32,63
119,15
30,21
142,137
58,143
96,130
66,129
116,55
160,16
93,48
120,7
105,51
57,34
76,62
118,136
155,32
143,126
156,64
104,124
117,22
147,126
69,47
26,59
91,48
80,53
89,28
161,14
100,77
161,60
22,73
84,14
117,137
129,52
42,77
164,71
74,75
152,111
128,54
161,51
101,34
97,59
47,20
91,51
95,93
165,43
89,152
158,116
117,52
22,83
159,98
36,86
26,24
32,12
103,45
166,22
156,110
44,54
133,124
56,17
21,17
40,79
84,115
129,6
76,68
54,35
104,98
77,113
91,102
122,4
154,101
84,24
149,67
70,11
20,2
143,78
99,151
115,52
32,98
76,30
144,36
146,27
115,138
62,124
108,38
150,76
136,33
77,122
49,132
98,80
131,43
98,116
70,112
27,17
39,84
132,141
157,115
111,97
55,31
91,36
49,38
163,72
45,132
55,35
105,12
115,30
62,132
34,24
43,37
113,7
34,85
52,123
153,69
113,138
94,138
149,91
99,59
65,24
111,126
153,84
97,146
107,148
55,59
119,127
132,121
156,29
114,13
115,38
109,16
100,80
80,13
67,15
123,135
59,35
97,39
100,58
106,96
151,126
90,127
107,13
87,80
134,56
65,61
73,47
21,5
126,25
166,42
96,141
150,118
26,8
120,27
65,39
21,62
57,56
91,50
121,149
78,152
128,12
101,45
28,58
27,39
133,5
49,127
160,41
106,18
72,77
82,130
141,97
118,13
64,45
22,48
46,23
26,33
155,22
35,31
173,5
79,111
36,99
31,90
96,38
44,44
42,87
70,144
170,26
171,5
169,16
142,127
49,55
67,12
18,30
100,121
122,140
31,88
78,115
91,16
96,124
166,41
159,80
126,134
119,6
37,90
89,61
131,141
150,65
47,35
164,22
120,4
36,26
53,139
85,90
151,38
159,34
79,150
19,34
19,16
82,79
109,87
93,150
31,22
20,62
154,92
139,125
111,139
20,63
111,128
63,126
65,25
124,57
143,44
150,98
150,108
85,80
136,13
37,123
29,89
43,45
132,64
111,34
46,25
36,84
33,48
85,72
107,87
139,55
70,21
53,19
112,139
92,151
62,128
131,35
42,20
155,96
96,81
26,13
57,59
125,141
146,110
93,135
68,147
117,37
106,78
56,124
132,12
121,62
78,135
128,132
76,141
20,1
115,24
115,13
30,68
165,34
76,125
82,26
48,87
142,47
107,146
44,79
91,72
42,23
100,37
124,137
77,95
171,24
58,59
162,59
77,131
142,120
74,49
102,124
47,48
81,90
93,63
105,85
91,117
113,81
125,18
124,61
58,35
89,114
121,35
100,49
99,45
35,43
76,97
145,60
80,12
24,43
73,123
69,128
117,138
96,148
166,17
60,54
48,23
112,44
58,20
91,101
19,45
84,130
105,101
22,41
83,134
157,91
170,53
165,16
81,150
106,145
117,15
77,62
84,107
115,151
62,25
78,110
56,60
116,131
155,61
117,18
51,13
157,28
146,62
61,58
62,34
136,70
96,36
149,83
137,127
152,52
99,116
26,32
26,54
67,50
120,133
99,49
164,86
84,124
85,58
51,25
23,66
20,64
40,16
87,135
78,44
153,68
168,20
62,38
162,86
110,18
116,53
66,54
81,145
140,12
31,27
109,22
45,37
26,51
152,80
81,93
51,38
136,19
