"x","y"
283,640
539,415
740,367
117,112
357,760
404,748
693,402
234,103
105,180
28,242
282,668
175,375
626,581
225,577
261,195
671,264
606,602
337,368
354,363
513,373
287,119
409,22
248,729
556,200
353,9
106,388
97,392
371,585
273,739
564,393
380,604
715,388
20,267
481,78
197,432
334,751
616,310
593,620
129,180
527,264
294,493
534,392
346,763
131,389
193,99
542,120
382,165
224,598
344,410
224,516
177,77
113,385
214,699
263,692
204,667
191,398
79,195
215,642
81,186
228,678
383,438
715,250
342,340
296,203
217,650
346,323
300,43
163,439
403,748
311,652
372,577
138,392
678,400
446,54
18,330
124,437
415,298
679,381
411,28
328,611
483,324
244,570
247,31
625,564
167,190
293,648
423,750
221,102
395,756
357,680
547,397
284,498
376,761
504,710
191,377
312,701
22,242
661,281
173,455
709,249
592,633
189,663
669,212
137,390
646,154
228,33
86,190
680,444
372,444
192,645
127,444
321,636
36,352
671,473
205,424
330,129
110,456
213,572
289,641
720,387
26,247
341,348
255,729
687,233
189,393
430,508
324,131
693,400
334,405
98,554
192,568
238,682
237,669
358,228
626,568
440,756
269,697
283,492
437,502
190,640
283,628
308,45
534,427
596,361
11,292
641,310
319,203
490,95
208,46
146,394
479,394
122,527
417,276
347,365
185,74
490,238
661,512
632,150
355,409
214,431
159,531
223,486
592,363
378,580
260,115
378,758
194,359
109,449
259,513
576,383
563,123
342,97
474,391
657,505
174,92
253,732
678,211
725,367
43,209
718,385
171,575
203,55
532,702
274,56
387,763
616,576
360,561
731,268
477,732
503,250
427,411
331,132
602,609
332,65
678,219
477,466
244,193
73,188
253,613
202,389
475,317
203,673
309,6
279,189
344,370
213,632
282,753
344,394
331,208
214,604
647,302
481,472
30,353
21,330
361,393
330,384
241,511
524,399
427,43
15,257
555,297
239,724
369,559
733,316
330,330
255,578
510,442
546,119
680,451
673,458
581,317
91,545
190,646
532,685
499,91
157,391
428,299
610,309
245,105
337,353
391,219
345,554
169,192
619,133
290,572
347,366
141,389
198,582
405,519
152,404
223,41
48,369
436,500
127,184
218,618
375,573
426,402
268,751
337,765
371,537
346,351
135,438
597,623
566,398
518,383
201,661
442,752
5,264
323,603
448,314
356,141
510,104
585,370
322,375
282,44
361,148
154,422
739,337
428,411
210,199
578,650
186,588
342,339
193,412
342,411
184,573
379,614
273,507
88,468
538,391
110,561
368,443
741,301
331,398
322,47
736,335
191,586
199,689
335,379
366,754
390,225
380,12
346,382
193,527
309,15
285,574
671,274
260,186
342,100
586,131
389,17
230,518
319,356
406,519
328,360
365,764
379,592
358,400
360,395
130,175
716,252
214,704
478,321
306,659
65,493
294,490
443,315
173,532
326,700
9,253
640,304
79,190
382,757
283,49
182,393
279,46
433,746
402,747
469,388
458,67
232,74
205,421
378,762
190,401
368,544
566,657
198,357
526,390
600,128
373,575
55,366
78,388
202,94
84,466
17,272
742,304
361,560
319,628
373,230
347,463
445,47
671,472
157,564
13,311
312,47
324,610
214,693
663,506
315,636
653,292
206,196
517,442
296,749
673,260
131,440
327,562
343,405
237,108
329,62
15,296
294,11
592,307
683,395
84,472
521,254
471,68
405,20
197,686
468,734
425,40
359,389
79,172
374,15
434,754
634,554
425,305
707,381
444,260
375,14
76,182
124,187
545,410
251,731
344,219
301,203
219,199
71,510
419,762
534,269
583,322
409,748
643,566
531,697
429,514
173,102
113,124
341,96
229,672
346,367
66,200
250,186
555,293
84,475
384,524
142,441
220,42
80,470
196,478
78,489
654,544
365,574
25,351
247,578
555,196
107,387
207,399
388,759
174,376
189,371
458,65
344,351
340,756
709,382
371,18
332,6
117,446
116,180
177,378
369,767
705,233
187,419
335,146
211,691
197,584
360,383
213,339
173,369
465,62
722,375
141,575
435,41
502,394
207,386
729,338
338,89
11,294
697,401
516,442
259,188
366,381
154,406
107,174
82,542
506,452
171,578
321,605
415,27
385,172
81,183
684,401
636,297
495,94
603,596
730,363
386,431
194,654
193,195
538,401
377,163
692,241
245,191
479,80
185,380
328,349
549,685
284,745
195,95
379,624
22,321
337,127
326,376
568,655
364,546
351,143
92,467
486,729
342,321
656,525
76,181
333,754
332,382
196,662
281,743
21,250
566,116
48,360
318,651
424,307
736,293
250,510
464,392
667,463
735,275
329,468
196,388
107,121
335,555
680,234
485,735
382,606
333,70
720,258
608,136
155,396
