"x","y"
154,53
204,54
34,24
109,213
175,56
185,220
56,279
203,280
176,136
111,213
51,280
138,19
166,285
64,195
189,218
147,7
166,76
100,34
72,279
269,259
241,236
6,55
33,61
236,246
101,289
151,12
76,253
248,214
268,241
135,182
170,285
67,58
180,133
31,20
148,136
41,28
141,42
67,227
160,95
268,240
75,242
268,266
16,35
184,287
152,85
131,284
38,24
127,134
68,90
133,131
46,253
81,36
116,140
144,284
163,60
159,130
149,69
47,83
228,258
111,215
185,214
106,271
89,120
47,259
92,295
234,297
224,297
141,50
78,102
233,247
148,8
238,278
34,21
169,62
227,108
134,136
144,48
63,67
53,279
66,80
270,260
202,277
62,26
183,281
48,113
47,25
227,88
139,186
168,2
22,23
111,274
229,83
197,62
139,25
108,221
102,147
53,114
40,98
72,166
189,9
88,36
93,115
48,109
142,11
268,260
226,263
102,30
153,6
75,26
153,135
178,6
42,81
44,110
252,222
98,142
219,264
57,221
61,209
228,85
244,195
60,25
134,28
231,166
69,293
229,80
74,30
262,283
62,70
271,252
187,285
99,35
138,197
70,233
180,57
220,262
11,32
235,174
271,254
142,186
183,212
178,136
225,292
257,286
186,58
189,128
85,32
186,126
77,100
71,174
238,222
90,297
260,226
81,274
106,283
215,287
146,179
143,131
101,30
73,51
68,67
197,140
69,236
75,30
76,293
158,132
231,88
74,98
23,79
117,136
176,137
70,296
68,97
235,178
38,81
81,158
63,225
105,125
7,44
270,252
200,18
221,157
234,177
157,132
240,176
138,134
214,290
153,286
154,89
53,223
218,127
71,103
182,282
72,131
11,63
15,77
53,26
153,94
36,82
207,275
221,261
173,3
63,207
254,291
56,22
139,179
79,134
189,215
155,65
64,180
202,279
80,107
214,64
242,188
66,93
164,289
56,287
60,73
221,50
188,129
73,160
218,31
168,103
203,62
45,20
186,125
226,155
111,211
12,41
194,8
134,167
186,280
217,132
193,140
80,296
190,132
46,19
54,119
219,67
217,41
74,159
230,161
227,59
135,286
101,269
9,42
268,257
183,221
225,77
200,64
97,296
159,5
45,114
261,280
246,211
45,109
237,241
99,290
85,42
231,72
68,96
213,148
247,197
225,51
229,59
218,151
223,264
228,65
52,113
67,184
104,129
155,85
100,127
238,168
225,123
49,114
147,129
73,56
69,64
225,87
84,152
226,162
64,198
32,21
170,286
242,237
170,104
166,131
64,121
27,26
87,38
214,273
226,89
136,37
184,126
174,75
226,94
126,165
86,34
131,177
202,276
4,50
146,79
61,193
141,41
80,131
28,20
159,3
237,277
139,23
95,38
243,194
157,135
147,288
272,253
256,287
231,84
121,278
266,244
157,98
116,28
137,20
146,185
224,58
158,3
67,95
181,3
116,216
156,3
178,120
69,131
120,32
105,278
235,295
209,146
100,124
225,258
259,228
242,192
168,104
74,101
114,34
174,3
173,134
67,26
64,209
267,273
267,267
49,22
230,269
172,2
219,294
64,206
104,125
48,262
62,184
224,261
246,197
63,214
98,294
238,240
164,63
183,287
147,57
179,282
80,160
34,82
82,273
65,123
196,61
272,254
196,140
219,153
67,84
148,75
183,134
44,24
26,78
125,25
48,261
266,278
18,32
153,285
242,198
75,292
114,29
52,114
229,298
22,81
232,73
10,70
178,138
233,85
163,76
28,84
143,45
203,22
258,223
81,297
122,132
241,198
214,43
84,295
70,54
174,287
9,62
157,283
218,154
14,29
209,139
241,225
246,193
200,11
62,124
271,258
88,257
75,159
99,269
165,60
194,281
228,90
108,140
6,47
173,2
165,61
161,95
69,97
174,109
205,272
135,185
90,113
42,244
73,280
218,147
84,37
179,286
240,291
200,278
203,13
177,3
156,61
39,86
181,124
211,37
148,133
87,153
142,284
118,141
218,266
79,106
208,283
100,142
224,47
211,274
62,198
233,175
129,165
97,144
216,28
265,242
72,280
127,28
67,293
189,61
241,200
137,46
228,115
250,284
68,231
95,146
135,27
266,275
54,21
209,25
113,33
266,241
213,38
180,285
64,201
183,58
210,44
57,225
226,69
57,79
66,172
70,91
231,100
221,293
172,61
60,120
157,92
141,287
167,289
76,133
210,29
144,179
230,246
186,56
266,233
240,228
84,260
177,132
141,172
136,287
126,25
249,215
103,37
152,71
219,265
191,62
87,149
66,215
216,271
221,117
63,75
86,156
72,245
70,65
30,65
150,7
63,65
214,51
201,15
267,259
128,27
48,234
137,134
65,26
97,294
20,74
213,141
72,55
10,43
203,17
271,266
103,126
187,57
201,144
187,140
47,108
41,37
88,262
150,71
185,130
243,190
233,96
19,76
222,75
84,158
79,298
152,90
13,31
232,271
43,80
161,75
60,212
136,28
240,186
73,130
135,35
159,284
38,90
240,204
147,83
115,212
225,253
172,283
46,237
244,217
154,95
77,103
153,52
170,284
226,61
162,5
219,291
225,294
180,119
150,13
216,151
64,88
148,128
70,130
71,173
114,31
192,284
230,90
32,19
214,136
94,124
219,154
67,223
220,47
228,68
133,283
51,82
48,275
177,130
182,57
164,136
205,60
208,52
93,144
228,70
112,217
230,56
183,60
70,55
91,260
47,271
154,86
159,55
146,49
152,70
104,31
202,17
244,189
85,137
226,85
232,87
133,180
121,30
40,41
101,139
72,96
59,214
232,247
202,64
148,85
205,19
182,61
211,24
206,139
99,271
105,37
35,83
160,129
51,77
209,30
114,276
166,75
157,96
132,28
174,4
165,1
232,242
76,160
232,90
234,176
225,162
269,274
227,80
225,157
222,268
73,237
59,220
23,28
232,160
265,269
47,107
117,279
80,32
61,28
233,294
69,126
140,285
53,24
146,287
59,123
263,233
33,81
225,78
210,288
159,285
57,220
46,22
89,153
220,71
177,288
45,270
68,60
67,75
256,220
263,280
89,112
225,57
111,276
264,242
84,33
64,73
73,32
229,103
77,253
62,219
175,132
223,114
139,287
33,60
149,83
108,141
50,117
245,211
149,5
226,63
238,223
44,253
163,285
211,53
244,290
156,133
108,31
228,72
108,272
92,142
155,131
66,183
59,28
158,95
177,111
113,134
77,51
242,226
213,289
71,176
86,258
151,79
223,292
8,45
242,228
67,175
246,215
184,134
39,84
138,184
228,293
71,240
126,283
224,161
165,6
65,86
140,134
75,55
66,61
81,41
176,111
272,260
201,14
49,241
259,234
85,33
214,30
88,141
43,88
69,25
63,29
59,290
176,7
213,144
46,110
185,135
71,53
183,286
169,4
27,81
114,133
209,20
67,65
74,53
180,137
59,201
111,143
41,21
81,135
223,42
131,282
47,22
232,253
59,121
249,292
91,147
117,26
44,266
203,277
138,180
202,42
238,186
245,226
56,123
210,282
215,152
165,129
207,142
158,283
147,168
118,277
231,91
112,31
225,257
10,33
65,92
67,189
176,112
268,254
125,131
183,3
143,9
242,206
58,278
67,237
239,294
151,51
68,71
117,29
226,153
222,47
143,134
116,138
260,234
159,129
100,291
48,79
150,80
152,10
225,107
52,280
75,104
242,211
86,269
61,125
48,115
93,269
257,284
162,130
257,227
209,278
16,32
68,64
233,292
136,177
67,235
221,49
66,28
232,244
214,147
108,28
145,285
228,66
198,70
217,137
60,71
111,218
43,23
46,235
217,33
145,178
74,165
150,79
264,238
148,286
184,211
97,148
235,169
158,62
114,28
60,194
231,94
78,49
192,135
242,291
226,118
64,81
224,54
225,115
156,92
247,198
241,224
151,84
187,63
75,158
93,294
65,198
49,227
87,111
231,82
228,249
126,138
84,297
55,121
138,18
150,12
215,138
169,175
62,180
24,76
237,186
48,277
44,19
177,57
177,136
271,260
237,169
91,34
206,50
141,52
116,134
80,42
184,128
253,292
13,33
92,140
86,42
160,63
249,213
224,60
77,32
114,218
57,26
68,167
195,13
160,62
78,50
76,103
252,221
155,289
211,276
96,150
83,110
47,20
163,132
54,229
216,134
204,28
47,263
116,31
69,229
103,287
225,79
125,285
73,133
51,232
248,294
62,221
52,82
227,294
46,269
252,283
220,39
230,113
90,37
223,154
144,15
192,139
220,155
171,63
182,287
169,287
68,93
182,126
198,140
180,286
180,61
136,23
111,28
191,281
62,199
225,93
72,234
135,37
227,89
167,7
74,169
85,44
256,228
92,37
140,183
94,119
212,43
184,121
74,164
138,48
240,236
64,66
99,32
216,293
166,2
241,189
151,130
140,33
246,292
232,86
230,62
126,135
107,142
48,236
65,60
71,90
60,279
24,24
75,46
67,174
67,76
122,278
93,36
157,6
246,204
58,26
62,25
179,217
119,139
228,60
109,273
265,247
150,289
225,259
87,294
76,34
33,24
62,121
196,11
106,138
52,276
131,130
40,86
89,150
98,289
162,59
249,216
222,153
160,288
171,2
48,227
149,71
114,139
204,279
226,121
232,91
45,22
239,236
105,270
67,66
232,297
63,186
215,71
214,137
234,169
160,56
143,180
241,216
114,140
43,21
227,52
49,81
101,32
199,282
48,112
43,84
204,30
108,289
90,261
181,5
117,277
264,276
228,78
243,297
168,101
168,62
48,117
210,141
232,294
105,275
166,170
89,148
83,134
222,260
27,80
237,176
202,144
90,33
107,61
237,185
181,115
199,10
173,287
241,192
77,158
117,282
222,125
201,281
53,282
7,58
72,126
249,283
169,5
228,102
61,286
192,282
160,286
112,133
144,18
85,154
242,195
228,71
59,287
156,10
82,108
21,27
220,133
92,292
233,73
76,100
229,81
42,246
189,285
63,224
99,143
195,58
233,79
44,268
119,137
135,181
268,239
224,40
246,207
144,16
78,165
10,39
66,216
207,23
8,68
45,247
138,283
82,260
228,254
153,62
228,266
174,114
83,44
83,108
60,199
215,39
186,124
205,14
17,32
43,94
186,134
40,43
206,273
136,133
148,73
157,9
65,289
171,58
50,19
191,8
266,273
145,186
77,109
86,114
150,76
70,234
95,296
92,38
179,62
138,181
96,147
69,27
142,282
150,130
112,216
187,217
231,96
51,87
174,112
182,131
228,88
113,212
175,282
79,48
178,112
85,38
54,223
144,287
133,183
183,137
16,28
211,278
121,167
85,46
134,32
99,34
145,129
100,295
156,60
64,122
186,8
219,262
202,280
20,79
215,288
136,27
214,66
93,123
179,138
82,106
150,128
158,68
234,238
43,251
217,37
168,110
42,104
178,59
174,62
60,283
83,42
241,201
88,113
11,35
189,211
44,251
225,297
56,224
5,41
84,256
47,238
256,225
154,5
175,58
196,62
30,20
167,59
132,284
127,182
219,131
266,262
142,129
60,222
157,91
38,94
231,95
142,18
50,112
77,129
202,143
34,85
211,69
86,44
44,107
263,284
45,264
129,179
215,33
71,243
72,60
157,93
181,4
187,125
70,170
140,131
176,114
14,73
156,131
254,218
53,21
86,41
266,234
211,142
32,63
71,58
47,273
146,78
154,68
238,235
21,76
239,189
220,123
184,4
245,192
127,135
67,82
25,69
245,219
58,283
91,295
233,250
71,169
193,12
148,6
271,246
40,44
115,131
42,99
259,225
207,148
264,237
44,94
145,176
80,106
171,4
129,284
67,228
51,23
106,36
43,102
66,212
86,110
98,38
72,28
187,135
20,24
215,68
81,252
84,39
63,126
90,294
110,142
211,40
79,34
89,149
170,5
59,76
232,298
104,139
81,46
65,83
261,283
